NAME,POSITION,TEAM,SALARY
<player 1>,,Arizona Cardinals,
<player 2>,,Arizona Cardinals,
<player 1>,,Atlanta Falcons,
<player 2>,,Atlanta Falcons,
<player 1>,,Baltimore Ravens,
<player 2>,,Baltimore Ravens,
<player 1>,,Buffalo Bills,
<player 2>,,Buffalo Bills,
<player 1>,,Carolina Panthers,
<player 2>,,Carolina Panthers,
<player 1>,,Chicago Bears,
<player 2>,,Chicago Bears,
<player 1>,,Cincinnati Bengals,
<player 2>,,Cincinnati Bengals,
<player 1>,,Cleveland Browns,
<player 2>,,Cleveland Browns,
<player 1>,,Dallas Cowboys,
<player 2>,,Dallas Cowboys,
<player 1>,,Denver Broncos,
<player 2>,,Denver Broncos,
<player 1>,,Detroit Lions,
<player 2>,,Detroit Lions,
<player 1>,,Green Bay Packers,
<player 2>,,Green Bay Packers,
<player 1>,,Houston Texans,
<player 2>,,Houston Texans,
<player 1>,,Indianapolis Colts,
<player 2>,,Indianapolis Colts,
<player 1>,,Jacksonville Jaguars,
<player 2>,,Jacksonville Jaguars,
<player 1>,,Kansas City Chiefs,
<player 2>,,Kansas City Chiefs,
<player 1>,,Las Vegas Raiders,
<player 2>,,Las Vegas Raiders,
<player 1>,,Los Angeles Chargers,
<player 2>,,Los Angeles Chargers,
<player 1>,,Los Angeles Rams,
<player 2>,,Los Angeles Rams,
<player 1>,,Miami Dolphins,
<player 2>,,Miami Dolphins,
<player 1>,,Minnesota Vikings,
<player 2>,,Minnesota Vikings,
<player 1>,,New England Patriots,
<player 2>,,New England Patriots,
<player 1>,,New Orleans Saints,
<player 2>,,New Orleans Saints,
<player 1>,,New York Giants,
<player 2>,,New York Giants,
<player 1>,,New York Jets,
<player 2>,,New York Jets,
<player 1>,,Philadelphia Eagles,
<player 2>,,Philadelphia Eagles,
<player 1>,,Pittsburgh Steelers,
<player 2>,,Pittsburgh Steelers,
<player 1>,,San Francisco 49ers,
<player 2>,,San Francisco 49ers,
<player 1>,,Seattle Seahawks,
<player 2>,,Seattle Seahawks,
<player 1>,,Tampa Bay Buccaneers,
<player 2>,,Tampa Bay Buccaneers,
<player 1>,,Tennessee Titans,
<player 2>,,Tennessee Titans,
<player 1>,,Washington Commanders,
<player 2>,,Washington Commanders,
