League,Season,Team City,Team Name,Avg Team Salary,Avg Team Age,Avg Temp of City
NBA,2017-18,Atlanta,Hawks,4917651.17,24.9,65.62
NBA,2017-18,Boston,Celtics,5050277.89,25.3,53.37
NBA,2017-18,Brooklyn,Nets,4435574.56,24.8,64.27
NBA,2017-18,Charlotte,Hornets,5318635.14,24.1,66.92
NBA,2017-18,Chicago,Bulls,6620476.0,25.6,52.05
NBA,2017-18,Cleveland,Cavaliers,10564086.25,29.1,59.9
NBA,2017-18,Dallas,Mavericks,6697628.33,26.6,72.93
NBA,2017-18,Denver,Nuggets,4645013.38,25.6,57.69
NBA,2017-18,Detroit,Pistons,6574761.5,25.6,61.52
NBA,2017-18,Golden State,Warriors,11183408.62,28.0,67.42
NBA,2017-18,Houston,Rockets,6395729.08,28.3,82.54
NBA,2017-18,Indiana,Pacers,6147605.64,25.6,58.12
NBA,2017-18,Los Angeles,Clippers,7607627.5,26.5,79.0
NBA,2017-18,Los Angeles,Lakers,5806583.8,24.8,79.0
NBA,2017-18,Memphis,Grizzlies,4820863.0,25.3,74.12
NBA,2017-18,Miami,Heat,7200605.7,26.1,84.72
NBA,2017-18,Milwaukee,Bucks,6398654.92,25.8,53.64
NBA,2017-18,Minnesota,Timberwolves,4595231.56,27.0,59.0
NBA,2017-18,New Orleans,Pelicans,6991603.91,27.8,83.88
NBA,2017-18,New York,Knicks,6595229.8,26.2,66.74
NBA,2017-18,Oklahoma City,Thunder,6043539.47,26.4,65.44
NBA,2017-18,Orlando,Magic,6378995.71,25.6,93.18
NBA,2017-18,Philadelphia,76ers,4437979.18,24.7,80.04
NBA,2017-18,Phoenix,Suns,5523799.92,24.1,91.99
NBA,2017-18,Portland,Trail Blazers,6793971.59,24.6,66.31
NBA,2017-18,Sacramento,Kings,5119051.25,26.6,90.5
NBA,2017-18,San Antonio,Spurs,6746046.53,28.1,83.97
NBA,2017-18,Toronto,Raptors,5687785.07,25.3,48.76
NBA,2017-18,Utah,Jazz,5197766.62,25.7,65.68
NBA,2017-18,Washington,Wizards,7521207.87,26.9,69.93
